,Unnamed: 0,name_unoriented,determinant,num_crossings,matrix_zero,components,jones_factorable,jones_determinant,smooth_four_genus,mod32_equivalent
226,L14n26908,L14n26908,0,14,True,2,True,-95,,True
230,L14n27317,L14n27317,0,14,True,2,True,77,,True
233,L14n28013,L14n28013,0,14,True,2,True,-63,,True
234,L14n28016,L14n28016,0,14,True,2,True,-63,,True
236,L14n28630,L14n28630,0,14,True,2,True,-119,,True
237,L14n28631,L14n28631,0,14,True,2,True,-119,,True
238,L14n28635,L14n28635,0,14,True,2,True,-119,,True
240,L14n28716,L14n28716,0,14,True,2,True,-51,,True
241,L14n28754,L14n28754,0,14,True,2,True,-191,,True
243,L14n29289,L14n29289,0,14,True,2,True,-351,,True
247,L14n30011,L14n30011,0,14,True,2,True,-191,,True
248,L14n30012,L14n30012,0,14,True,2,True,-191,,True
252,L14n30097,L14n30097,0,14,True,2,True,-215,,True
253,L14n30103,L14n30103,0,14,True,2,True,-215,,True
254,L14n30107,L14n30107,0,14,True,2,True,-215,,True
256,L14n30116,L14n30116,0,14,True,2,True,-191,,True
260,L14n30250,L14n30250,0,14,True,2,True,-215,,True
261,L14n30442,L14n30442,0,14,True,2,True,-215,,True
266,L14n30754,L14n30754,0,14,True,2,True,-87,,True
267,L14n30755,L14n30755,0,14,True,2,True,9,,True
268,L14n30756,L14n30756,0,14,True,2,True,105,,True
280,L14n31138,L14n31138,0,14,True,2,True,-211,,True
281,L14n31149,L14n31149,0,14,True,2,True,101,,True
293,L14n31329,L14n31329,0,14,True,2,True,-59,,True
294,L14n31330,L14n31330,0,14,True,2,True,69,,True
300,L14n31386,L14n31386,0,14,True,2,True,-91,,True
314,L14n31985,L14n31985,0,14,True,2,True,-191,,True
318,L14n32153,L14n32153,0,14,True,2,True,97,,True
319,L14n32154,L14n32154,0,14,True,2,True,-95,,True
320,L14n32155,L14n32155,0,14,True,2,True,-91,,True
321,L14n32156,L14n32156,0,14,True,2,True,101,,True
332,L14n33264,L14n33264,0,14,True,2,True,-127,,True
333,L14n33395,L14n33395,0,14,True,2,True,-191,,True
334,L14n33400,L14n33400,0,14,True,2,True,-191,,True
336,L14n33764,L14n33764,0,14,True,2,True,-191,,True
337,L14n33772,L14n33772,0,14,True,2,True,-191,,True
338,L14n33803,L14n33803,0,14,True,2,True,65,,True
343,L14n34637,L14n34637,0,14,True,2,True,-191,,True
351,L14n36374,L14n36374,0,14,True,2,True,-123,,True
358,L14n37664,L14n37664,0,14,True,2,True,-191,,True
359,L14n37692,L14n37692,0,14,True,2,True,-159,,True
360,L14n37694,L14n37694,0,14,True,2,True,161,,True
364,L14n37993,L14n37993,0,14,True,2,True,97,,True
366,L14n38074,L14n38074,0,14,True,2,True,-95,,True
367,L14n38233,L14n38233,0,14,True,2,True,-95,,True
370,L14n38362,L14n38362,0,14,True,2,True,-95,,True
371,L14n38364,L14n38364,0,14,True,2,True,-287,,True
373,L14n38409,L14n38409,0,14,True,2,True,-287,,True
374,L14n38410,L14n38410,0,14,True,2,True,-287,,True
375,L14n38511,L14n38511,0,14,True,2,True,-239,,True
376,L14n38526,L14n38526,0,14,True,2,True,-239,,True
377,L14n38799,L14n38799,0,14,True,2,True,-287,,True
378,L14n38879,L14n38879,0,14,True,2,True,-287,,True
379,L14n38901,L14n38901,0,14,True,2,True,-143,,True
383,L14n38940,L14n38940,0,14,True,2,True,41,,True
384,L14n38954,L14n38954,0,14,True,2,True,-23,,True
386,L14n39041,L14n39041,0,14,True,2,True,-55,,True
387,L14n39045,L14n39045,0,14,True,2,True,73,,True
394,L14n39113,L14n39113,0,14,True,2,True,-119,,True
395,L14n39200,L14n39200,0,14,True,2,True,-351,,True
396,L14n39205,L14n39205,0,14,True,2,True,-167,,True
397,L14n39209,L14n39209,0,14,True,2,True,-167,,True
402,L14n39328,L14n39328,0,14,True,2,True,41,,True
403,L14n39366,L14n39366,0,14,True,2,True,-71,,True
404,L14n39377,L14n39377,0,14,True,2,True,-143,,True
405,L14n39390,L14n39390,0,14,True,2,True,-215,,True
406,L14n39451,L14n39451,0,14,True,2,True,-279,,True
407,L14n39497,L14n39497,0,14,True,2,True,-215,,True
408,L14n39517,L14n39517,0,14,True,2,True,-215,,True
409,L14n39520,L14n39520,0,14,True,2,True,-215,,True
410,L14n39525,L14n39525,0,14,True,2,True,-215,,True
411,L14n39624,L14n39624,0,14,True,2,True,161,,True
412,L14n39802,L14n39802,0,14,True,2,True,-95,,True
413,L14n39804,L14n39804,0,14,True,2,True,-287,,True
414,L14n39807,L14n39807,0,14,True,2,True,-287,,True
415,L14n39822,L14n39822,0,14,True,2,True,-87,,True
416,L14n39871,L14n39871,0,14,True,2,True,-287,,True
418,L14n39921,L14n39921,0,14,True,2,True,-95,,True
419,L14n39958,L14n39958,0,14,True,2,True,-23,,True
421,L14n39967,L14n39967,0,14,True,2,True,-95,,True
427,L14n40013,L14n40013,0,14,True,2,True,-95,,True
430,L14n52847,L14n52847,0,14,True,3,True,73,,True
431,L14n52922,L14n52922,0,14,True,3,True,73,,True
432,L14n52934,L14n52934,0,14,True,3,True,73,,True
433,L14n53120,L14n53120,0,14,True,3,True,73,,True
434,L14n53143,L14n53143,0,14,True,3,True,73,,True
